BEGIN_CORRECTED_TSV
trial_id original_fixture_id replicate arm hard_eligible false_block_control hard_escape semantic_error semantic_error_stage semantic_fields_lost verifier_failure synthesis_boundary_failure false_block repair_attempted repair_eligible repair_success correct_abandonment conclusion_changed conclusion_change_correct final_classification evidence_ref
r2-DEV-Y8PCH6-a missing-high-information-qualifier 2 A NO NO NA NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_QUALIFIER_PRESERVATION_WARNING ORIGINAL_PM_RESPONSE:r2-DEV-Y8PCH6-a
r3-DEV-9M34WA-a no-control 3 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r3-DEV-9M34WA-a
r3-DEV-D6JPFM-a immediate-vs-delayed 3 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r3-DEV-D6JPFM-a
r3-DEV-JRSYJV-a dose-modified-q 3 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r3-DEV-JRSYJV-a
r3-DEV-L9JQC2-a tiny-vs-threshold 3 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r3-DEV-L9JQC2-a
r3-DEV-QWCNK4-a shared-q-control 3 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_SHARED_MARKER_EXPLANATION ORIGINAL_PM_RESPONSE:r3-DEV-QWCNK4-a
r3-DEV-S47VJN-a target-substitution 3 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_TARGET_PRESERVATION_REJECTION ORIGINAL_PM_RESPONSE:r3-DEV-S47VJN-a
r3-DEV-SQBKLZ-a true-discriminator 3 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r3-DEV-SQBKLZ-a
r3-DEV-Y8PCH6-a missing-high-information-qualifier 3 A NO NO NA NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_QUALIFIER_PRESERVATION_WARNING ORIGINAL_PM_RESPONSE:r3-DEV-Y8PCH6-a
r1-DEV-9M34WA-b no-control 1 B YES NO NO NO NA NONE NO NO NA YES NO NA NO NO NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r1-DEV-9M34WA-b
r1-DEV-D6JPFM-b immediate-vs-delayed 1 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r1-DEV-D6JPFM-b
r1-DEV-JRSYJV-b dose-modified-q 1 B NO YES NA YES INITIAL amount_or_dose NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r1-DEV-JRSYJV-b
r1-DEV-L9JQC2-b tiny-vs-threshold 1 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r1-DEV-L9JQC2-b
r1-DEV-QWCNK4-b shared-q-control 1 B YES NO NO NO NA NONE NO NO NA YES YES YES YES NO NA CORRECT_BOUNDED_REJECTION_AFTER_CORRECT_ABANDONMENT ORIGINAL_PM_RESPONSE:r1-DEV-QWCNK4-b
r1-DEV-S47VJN-b target-substitution 1 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO YES YES CORRECT_BOUNDED_TARGET_REJECTION ORIGINAL_PM_RESPONSE:r1-DEV-S47VJN-b
r1-DEV-SQBKLZ-b true-discriminator 1 B NO YES NA YES INITIAL other NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r1-DEV-SQBKLZ-b
r1-DEV-Y8PCH6-b missing-high-information-qualifier 1 B NO NO NA YES BOTH timing,other NO NO NA YES YES NO NO NO NA TRANSLATION_DEFECT_PERSISTS_CAUSING_COLLATERAL_BLOCK ORIGINAL_PM_RESPONSE:r1-DEV-Y8PCH6-b
r2-DEV-9M34WA-b no-control 2 B YES NO NO NO NA NONE NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r2-DEV-9M34WA-b
r2-DEV-D6JPFM-b immediate-vs-delayed 2 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r2-DEV-D6JPFM-b
r2-DEV-JRSYJV-b dose-modified-q 2 B NO YES NA YES INITIAL amount_or_dose NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r2-DEV-JRSYJV-b
r2-DEV-L9JQC2-b tiny-vs-threshold 2 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r2-DEV-L9JQC2-b
r2-DEV-QWCNK4-b shared-q-control 2 B YES NO NO NO NA NONE NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_INTENDED_SPECIFICITY_BLOCK ORIGINAL_PM_RESPONSE:r2-DEV-QWCNK4-b
r2-DEV-S47VJN-b target-substitution 2 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO YES YES CORRECT_BOUNDED_TARGET_REJECTION ORIGINAL_PM_RESPONSE:r2-DEV-S47VJN-b
r2-DEV-SQBKLZ-b true-discriminator 2 B NO YES NA YES INITIAL other NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r2-DEV-SQBKLZ-b
r2-DEV-Y8PCH6-b missing-high-information-qualifier 2 B NO NO NA YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SPECIFICITY_WITH_QUALIFIER_PRESERVED ORIGINAL_PM_RESPONSE:r2-DEV-Y8PCH6-b
r3-DEV-9M34WA-b no-control 3 B YES NO NO NO NA NONE NO NO NA YES YES NO NO NO NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r3-DEV-9M34WA-b
r3-DEV-D6JPFM-b immediate-vs-delayed 3 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r3-DEV-D6JPFM-b
r3-DEV-JRSYJV-b dose-modified-q 3 B NO YES NA NO NA NONE NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r3-DEV-JRSYJV-b
r3-DEV-L9JQC2-b tiny-vs-threshold 3 B YES NO NO YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_BOUNDED_REJECTION_WITH_EVIDENCE_DIRECTION_BLOCK ORIGINAL_PM_RESPONSE:r3-DEV-L9JQC2-b
r3-DEV-QWCNK4-b shared-q-control 3 B YES NO NO NO NA NONE NO NO NA YES NO NA YES NO NA CORRECT_BOUNDED_REJECTION_AFTER_CORRECT_ABANDONMENT ORIGINAL_PM_RESPONSE:r3-DEV-QWCNK4-b
r3-DEV-S47VJN-b target-substitution 3 B YES NO NO YES BOTH other,dependency_or_provenance NO NO NA YES YES NO NO YES YES CORRECT_BOUNDED_TARGET_REJECTION_AFTER_INVALID_CLAIM_REMOVAL ORIGINAL_PM_RESPONSE:r3-DEV-S47VJN-b
r3-DEV-SQBKLZ-b true-discriminator 3 B NO YES NA YES INITIAL other NO NO NO YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SUPPORT_AFTER_REPAIR ORIGINAL_PM_RESPONSE:r3-DEV-SQBKLZ-b
r3-DEV-Y8PCH6-b missing-high-information-qualifier 3 B NO NO NA YES INITIAL other NO NO NA YES YES YES NO NO NA CORRECT_NARROW_DEFINITIVE_SPECIFICITY_WITH_QUALIFIER_PRESERVED ORIGINAL_PM_RESPONSE:r3-DEV-Y8PCH6-b
#ARM_A_HARD_ESCAPES 0/15
#ARM_B_HARD_ESCAPES 0/15
#SEMANTIC_INITIAL_OR_BOTH 17/24
#SEMANTIC_FINAL_OR_BOTH 2/24
#VERIFIER_ESCAPES_FAITHFUL_HARD 0/12
#DETERMINISTIC_FALSE_BLOCKS 0/6
#SYNTHESIS_BOUNDARY_FAILURES 0/24
#REPAIR_SUCCESS 19/22
#CORRECT_CONCLUSION_CHANGES 3/3
#STRATEGY BUILD_INDEPENDENT_SEMANTIC_REPRESENTATION_VERIFIER
END_CORRECTED_TSV
